cvcl-resnext,Different-Class-Color-Size-Texture,Different,3908,4140,0.9440
clip-resnext,Different-Class-Color-Size-Texture,Different,4125,4140,0.9964
cvcl-resnext,Class-Prototype,590,670,0.8806
clip-resnext,Class-Prototype,659,670,0.9836
cvcl-resnext,DCDC-Color-Prototype,1484,1720,0.8628
clip-resnext,DCDC-Color-Prototype,1680,1720,0.9767
cvcl-resnext,DCDC-Different-Class-Different-Color,1469,1720,0.8541
clip-resnext,DCDC-Different-Class-Different-Color,1687,1720,0.9808
cvcl-resnext,Different-Class-Different-Colors,1484,1720,0.8628
clip-resnext,Different-Class-Different-Colors,1680,1720,0.9767
cvcl-resnext,Different-Class-Different-Colors,2485,2730,0.9103
clip-resnext,Different-Class-Different-Colors,2685,2730,0.9835
cvcl-resnext,Same-Class-Different-Colors,1520,2670,0.5693
clip-resnext,Same-Class-Different-Colors,1659,2670,0.6213
cvcl-resnext,Different-Class-Different-Color-Size,3434,3660,0.9383
clip-resnext,Different-Class-Different-Color-Size,3639,3660,0.9943
cvcl-resnext,Same-Class-Different-Color-Size,1449,1930,0.7508
clip-resnext,Same-Class-Different-Color-Size,1509,1930,0.7819
cvcl-resnext,Different-Class-Different-Color-Size-Texture,3909,4140,0.9442
clip-resnext,Different-Class-Different-Color-Size-Texture,4122,4140,0.9957
cvcl-resnext,Same-Class-Different-Color-Size-Texture,330,350,0.9429
clip-resnext,Same-Class-Different-Color-Size-Texture,335,350,0.9571
cvcl-resnext,Different-Class-Different-Color-Texture,2910,3170,0.9180
clip-resnext,Different-Class-Different-Color-Texture,3140,3170,0.9905
cvcl-resnext,Same-Class-Different-Color-Texture,796,1100,0.7236
clip-resnext,Same-Class-Different-Color-Texture,836,1100,0.7600
cvcl-resnext,Different-Class-Different-Size,1196,1290,0.9271
clip-resnext,Different-Class-Different-Size,1276,1290,0.9891
cvcl-resnext,Same-Class-Different-Size,486,960,0.5062
clip-resnext,Same-Class-Different-Size,469,960,0.4885
cvcl-resnext,Different-Class-Different-Size-Texture,1490,1600,0.9313
clip-resnext,Different-Class-Different-Size-Texture,1579,1600,0.9869
cvcl-resnext,Same-Class-Different-Size-Texture,266,330,0.8061
clip-resnext,Same-Class-Different-Size-Texture,266,330,0.8061
cvcl-resnext,Different-Class-Different-Texture,797,920,0.8663
clip-resnext,Different-Class-Different-Texture,907,920,0.9859
cvcl-resnext,Same-Class-Different-Texture,170,440,0.3864
clip-resnext,Same-Class-Different-Texture,172,440,0.3909
